src,dst,relationship
userId_13364,userId_39096,follow
userId_13364,userId_31688,follow
userId_13364,userId_32252,follow
userId_13364,userId_28949,follow
userId_13364,userId_20122,follow
userId_13364,userId_29596,follow
userId_13364,userId_6575,follow
userId_13364,userId_1406,follow
userId_13364,userId_19658,follow
userId_13364,userId_38409,follow
userId_13364,userId_22196,follow
userId_13364,userId_4255,follow
userId_13364,userId_35696,follow
userId_13364,userId_18408,follow
userId_13364,userId_3993,follow
userId_13364,userId_3467,follow
userId_13364,userId_11767,follow
userId_13364,userId_19277,follow
userId_13364,userId_20023,follow
userId_13364,userId_34570,follow
userId_13364,userId_8577,follow
userId_13364,userId_39225,follow
userId_13364,userId_38198,follow
userId_13364,userId_31556,follow
userId_13364,userId_7619,follow
userId_13364,userId_37889,follow
userId_13364,userId_380,follow
userId_13364,userId_13248,follow
userId_13364,userId_36407,follow
userId_13364,userId_25328,follow
userId_13364,userId_11961,follow
userId_13364,userId_29141,follow
userId_13364,userId_11566,follow
userId_13364,userId_38750,follow
userId_13364,userId_32154,follow
userId_13364,userId_34254,follow
userId_13364,userId_5933,follow
userId_13364,userId_9094,follow
userId_13364,userId_9485,follow
userId_13364,userId_7374,follow
userId_13364,userId_9863,follow
userId_13364,userId_20711,follow
userId_13364,userId_15674,follow
userId_13364,userId_14704,follow
userId_13364,userId_17018,follow
userId_13364,userId_4282,follow
userId_13364,userId_33176,follow
userId_13364,userId_39271,follow
userId_13364,userId_12131,follow
userId_13364,userId_13904,follow
userId_13364,userId_37255,follow
userId_13364,userId_30586,follow
userId_13364,userId_38250,follow
userId_13364,userId_36440,follow
userId_13364,userId_4748,follow
userId_13364,userId_14270,follow
userId_13364,userId_34568,follow
userId_13364,userId_6057,follow
userId_13364,userId_4990,follow
userId_13364,userId_34967,follow
userId_13364,userId_34786,follow
userId_13364,userId_9946,follow
userId_13364,userId_3999,follow
userId_13364,userId_34353,follow
userId_13364,userId_91,follow
userId_13364,userId_37791,follow
userId_13364,userId_2822,follow
userId_13364,userId_425,follow
userId_13364,userId_15690,follow
userId_13364,userId_29532,follow
userId_13364,userId_13126,follow
userId_13364,userId_13241,follow
userId_13364,userId_10442,follow
userId_13364,userId_15524,follow
userId_13364,userId_24516,follow
userId_13364,userId_28796,follow
userId_13364,userId_9257,follow
userId_13364,userId_26974,follow
userId_13364,userId_3405,follow
userId_13364,userId_27483,follow
userId_13364,userId_4253,follow
userId_13364,userId_32988,follow
userId_13364,userId_15065,follow
userId_13364,userId_8438,follow
userId_13364,userId_37401,follow
userId_13364,userId_4505,follow
userId_13364,userId_26817,follow
userId_13364,userId_19294,follow
userId_13364,userId_4740,follow
userId_13364,userId_15355,follow
userId_13364,userId_2752,follow
userId_13364,userId_23543,follow
userId_13364,userId_11810,follow
userId_13364,userId_1386,follow
userId_13364,userId_4106,follow
userId_13364,userId_11391,follow
userId_13364,userId_15684,follow
userId_13364,userId_18142,follow
userId_13364,userId_25497,follow
userId_13364,userId_16415,follow
userId_13364,userId_36485,follow
userId_13364,userId_21822,follow
userId_13364,userId_18060,follow
userId_13364,userId_3777,follow
userId_13364,userId_9465,follow
userId_13364,userId_1645,follow
userId_13364,userId_34946,follow
userId_13364,userId_13933,follow
userId_13364,userId_5981,follow
userId_13364,userId_13880,follow
userId_13364,userId_18950,follow
userId_13364,userId_12111,follow
userId_13364,userId_33977,follow
userId_13364,userId_39649,follow
userId_13364,userId_17806,follow
userId_13364,userId_39144,follow
userId_13364,userId_12554,follow
userId_13364,userId_3254,follow
userId_13364,userId_14895,follow
userId_13364,userId_35234,follow
userId_13364,userId_20464,follow
userId_13364,userId_35710,follow
userId_13364,userId_7999,follow
userId_13364,userId_5853,follow
userId_13364,userId_1205,follow
userId_13364,userId_5362,follow
userId_13364,userId_19637,follow
userId_13364,userId_6201,follow
userId_13364,userId_27635,follow
userId_13364,userId_6330,follow
userId_13364,userId_14917,follow
userId_13364,userId_27646,follow
userId_13364,userId_3350,follow
userId_13364,userId_16356,follow
userId_13364,userId_2628,follow
userId_13364,userId_2869,follow
userId_13364,userId_12648,follow
userId_13364,userId_27276,follow
userId_13364,userId_1962,follow
userId_13364,userId_30889,follow
userId_13364,userId_6583,follow
userId_13364,userId_38910,follow
userId_13364,userId_17594,follow
userId_13364,userId_23986,follow
userId_13364,userId_21570,follow
userId_13364,userId_29106,follow
userId_13364,userId_2147,follow
userId_13364,userId_38059,follow
userId_13364,userId_21512,follow
userId_13364,userId_36879,follow
userId_13364,userId_2381,follow
userId_13364,userId_13267,follow
userId_13364,userId_17104,follow
userId_13364,userId_9822,follow
userId_13364,userId_22071,follow
userId_13364,userId_13029,follow
userId_13364,userId_9740,follow
userId_13364,userId_36499,follow
userId_13364,userId_14359,follow
userId_13364,userId_5037,follow
userId_13364,userId_4837,follow
userId_13364,userId_6833,follow
userId_13364,userId_12697,follow
userId_13364,userId_35877,follow
userId_13364,userId_23532,follow
userId_13364,userId_26752,follow
userId_13364,userId_2345,follow
userId_13364,userId_29135,follow
userId_13364,userId_27564,follow
userId_13364,userId_3802,follow
userId_13364,userId_39304,follow
userId_13364,userId_32460,follow
userId_13364,userId_28646,follow
userId_13364,userId_35592,follow
userId_13364,userId_29174,follow
userId_13364,userId_35284,follow
userId_13364,userId_29745,follow
userId_13364,userId_9360,follow
userId_13364,userId_2317,follow
userId_13364,userId_35477,follow
userId_13364,userId_7856,follow
userId_13364,userId_24233,follow
userId_13364,userId_9497,follow
userId_13364,userId_27532,follow
userId_13364,userId_25386,follow
userId_13364,userId_31603,follow
userId_13364,userId_10975,follow
userId_13364,userId_21293,follow
userId_13364,userId_6209,follow
userId_13364,userId_15805,follow
userId_13364,userId_30538,follow
userId_13364,userId_12846,follow
userId_13364,userId_39764,follow
userId_13364,userId_19562,follow
userId_13364,userId_34849,follow
userId_13364,userId_1487,follow
userId_13364,userId_18169,follow
userId_13364,userId_21159,follow
userId_13364,userId_13751,follow
userId_13364,userId_20429,follow
userId_13364,userId_17538,follow
userId_13364,userId_38438,follow
userId_13364,userId_17627,follow
userId_13364,userId_2462,follow
userId_13364,userId_35317,follow
userId_13364,userId_1387,follow
userId_13364,userId_31318,follow
userId_13364,userId_33694,follow
userId_13364,userId_37771,follow
userId_13364,userId_29933,follow
userId_13364,userId_27005,follow
userId_13364,userId_1369,follow
userId_13364,userId_35794,follow
userId_13364,userId_33209,follow
userId_13364,userId_20041,follow
userId_13364,userId_38298,follow
userId_13364,userId_9035,follow
userId_13364,userId_36802,follow
userId_13364,userId_23118,follow
userId_13364,userId_24059,follow
userId_13364,userId_30122,follow
userId_13364,userId_1124,follow
userId_13364,userId_38948,follow
userId_13364,userId_19141,follow
userId_13364,userId_11272,follow
userId_13364,userId_30775,follow
userId_13364,userId_27449,follow
userId_13364,userId_30410,follow
userId_13364,userId_7524,follow
userId_13364,userId_6787,follow
userId_13364,userId_9844,follow
userId_13364,userId_24721,follow
userId_13364,userId_21947,follow
userId_13364,userId_6000,follow
userId_13364,userId_6110,follow
userId_13364,userId_39508,follow
userId_13364,userId_453,follow
userId_13364,userId_23323,follow
userId_13364,userId_15542,follow
userId_13364,userId_26064,follow
userId_13364,userId_17897,follow
userId_13364,userId_17232,follow
userId_13364,userId_17118,follow
userId_13364,userId_24562,follow
userId_13364,userId_31277,follow
userId_13364,userId_8358,follow
userId_13364,userId_1936,follow
userId_13364,userId_31949,follow
userId_13364,userId_19668,follow
userId_13364,userId_5881,follow
userId_13364,userId_37565,follow
userId_13364,userId_29898,follow
userId_13364,userId_4298,follow
userId_13364,userId_20720,follow
userId_13364,userId_21178,follow
userId_13364,userId_10289,follow
userId_13364,userId_15176,follow
userId_13364,userId_12827,follow
userId_13364,userId_36816,follow
userId_13364,userId_16465,follow
userId_13364,userId_449,follow
userId_13364,userId_13453,follow
userId_13364,userId_15514,follow
userId_13364,userId_25132,follow
userId_13364,userId_27928,follow
userId_13364,userId_29382,follow
userId_13364,userId_23774,follow
userId_13364,userId_28294,follow
userId_13364,userId_18035,follow
userId_13364,userId_29327,follow
userId_13364,userId_36074,follow
userId_13364,userId_19930,follow
userId_13364,userId_5978,follow
userId_13364,userId_32933,follow
userId_13364,userId_22626,follow
userId_13364,userId_11358,follow
userId_13364,userId_5242,follow
userId_13364,userId_12745,follow
userId_13364,userId_21369,follow
userId_13364,userId_4185,follow
userId_13364,userId_35370,follow
userId_13364,userId_21565,follow
userId_13364,userId_27618,follow
userId_13364,userId_9879,follow
userId_13364,userId_15198,follow
userId_13364,userId_19333,follow
userId_13364,userId_9816,follow
userId_13364,userId_27404,follow
userId_13364,userId_8322,follow
userId_13364,userId_29622,follow
userId_13364,userId_19252,follow
userId_13364,userId_30130,follow
userId_13364,userId_39399,follow
userId_13364,userId_23278,follow
userId_13364,userId_17829,follow
userId_13364,userId_23540,follow
userId_13364,userId_6734,follow
userId_13364,userId_23844,follow
userId_13364,userId_21324,follow
userId_13364,userId_29778,follow
userId_13364,userId_31930,follow
userId_13364,userId_26950,follow
userId_13364,userId_34923,follow
userId_13364,userId_12732,follow
userId_13364,userId_23616,follow
userId_13364,userId_23625,follow
userId_13364,userId_28598,follow
userId_13364,userId_22145,follow
userId_13364,userId_26047,follow
userId_13364,userId_7614,follow
userId_13364,userId_20807,follow
userId_13364,userId_26309,follow
userId_13364,userId_3891,follow
userId_13364,userId_32925,follow
userId_13364,userId_25788,follow
userId_13364,userId_17189,follow
userId_13364,userId_21342,follow
userId_13364,userId_11273,follow
userId_13364,userId_10300,follow
userId_13364,userId_3531,follow
userId_13364,userId_6563,follow
userId_13364,userId_21097,follow
userId_13364,userId_16770,follow
userId_13364,userId_3155,follow
userId_13364,userId_1027,follow
userId_13364,userId_37301,follow
userId_13364,userId_25665,follow
userId_13364,userId_38011,follow
userId_13364,userId_15317,follow
userId_13364,userId_33390,follow
userId_13364,userId_3098,follow
userId_13364,userId_11305,follow
userId_13364,userId_29916,follow
userId_13364,userId_34804,follow
userId_13364,userId_38974,follow
userId_13364,userId_9990,follow
userId_13364,userId_12663,follow
userId_13364,userId_34571,follow
userId_13364,userId_8236,follow
userId_13364,userId_22049,follow
userId_13364,userId_25145,follow
userId_13364,userId_23436,follow
userId_13364,userId_34424,follow
userId_13364,userId_755,follow
userId_13364,userId_23420,follow
userId_13364,userId_22659,follow
userId_13364,userId_11112,follow
userId_13364,userId_19245,follow
userId_13364,userId_18818,follow
userId_13364,userId_33397,follow
userId_13364,userId_10161,follow
userId_13364,userId_4561,follow
userId_13364,userId_31906,follow
userId_13364,userId_36471,follow
userId_13364,userId_7937,follow
userId_13364,userId_3153,follow
userId_13364,userId_16650,follow
userId_13364,userId_5838,follow
userId_13364,userId_34265,follow
userId_13364,userId_28157,follow
userId_13364,userId_39069,follow
userId_13364,userId_25691,follow
userId_13364,userId_39111,follow
userId_13364,userId_5262,follow
userId_13364,userId_30418,follow
userId_13364,userId_16335,follow
userId_13364,userId_36420,follow
userId_13364,userId_13467,follow
userId_13364,userId_262,follow
userId_13364,userId_34184,follow
userId_13364,userId_34397,follow
userId_13364,userId_4059,follow
userId_13364,userId_19735,follow
userId_13364,userId_33170,follow
userId_13364,userId_28205,follow
userId_13364,userId_21419,follow
userId_13364,userId_26485,follow
userId_13364,userId_9882,follow
userId_13364,userId_39125,follow
userId_13364,userId_33520,follow
userId_13364,userId_14407,follow
userId_13364,userId_36657,follow
userId_13364,userId_38649,follow
userId_13364,userId_3411,follow
userId_13364,userId_30580,follow
userId_13364,userId_9979,follow
userId_13364,userId_14844,follow
userId_13364,userId_39517,follow
userId_13364,userId_18191,follow
userId_13364,userId_18119,follow
userId_13364,userId_22280,follow
userId_13364,userId_31724,follow
userId_13364,userId_28265,follow
userId_13364,userId_31119,follow
userId_13364,userId_14731,follow
userId_13364,userId_35142,follow
userId_13364,userId_18202,follow
userId_13364,userId_16829,follow
userId_13364,userId_20657,follow
userId_13364,userId_19898,follow
userId_13364,userId_7962,follow
userId_13364,userId_33423,follow
userId_13364,userId_21101,follow
userId_13364,userId_18915,follow
userId_13364,userId_23,follow
userId_13364,userId_25623,follow
userId_13364,userId_39593,follow
userId_13364,userId_6329,follow
userId_13364,userId_29082,follow
userId_13364,userId_7240,follow
userId_13364,userId_10833,follow
userId_13364,userId_33272,follow
userId_13364,userId_22290,follow
userId_13364,userId_28923,follow
