src,dst,count
userId_3831,userId_13364,1
userId_37271,userId_13364,2
userId_7901,userId_13364,1
userId_15484,userId_13364,1
userId_17222,userId_13364,1
userId_16613,userId_13364,5
userId_37541,userId_13364,2
userId_24266,userId_13364,1
userId_21159,userId_13364,1
userId_23100,userId_13364,1
userId_25079,userId_13364,2
userId_20695,userId_13364,1
userId_28967,userId_13364,1
userId_2743,userId_13364,1
userId_30142,userId_13364,7
userId_35628,userId_13364,1
userId_6072,userId_13364,5
userId_12325,userId_13364,1
userId_30568,userId_13364,2
userId_11502,userId_13364,4
userId_13063,userId_13364,1
userId_2456,userId_13364,2
userId_24445,userId_13364,5
userId_2793,userId_13364,12
userId_14004,userId_13364,1
userId_14908,userId_13364,25
userId_21271,userId_13364,1
userId_30449,userId_13364,1
userId_37279,userId_13364,1
userId_13059,userId_13364,1
userId_30801,userId_13364,1
userId_37984,userId_13364,14
userId_20851,userId_13364,5
userId_15305,userId_13364,1
userId_11427,userId_13364,1
userId_10704,userId_13364,1
userId_13737,userId_13364,1
userId_36246,userId_13364,3
userId_33453,userId_13364,1
userId_1909,userId_13364,1
userId_22249,userId_13364,3
userId_14776,userId_13364,3
userId_34333,userId_13364,1
userId_10670,userId_13364,1
userId_2097,userId_13364,1
userId_36720,userId_13364,1
userId_5845,userId_13364,4
userId_2157,userId_13364,4
userId_35332,userId_13364,2
userId_38824,userId_13364,1
userId_892,userId_13364,1
userId_19578,userId_13364,21
userId_742,userId_13364,1
userId_9200,userId_13364,1
userId_7993,userId_13364,1
userId_11464,userId_13364,1
userId_19693,userId_13364,1
userId_30122,userId_13364,4
userId_8727,userId_13364,1
userId_37770,userId_13364,1
userId_27356,userId_13364,1
userId_32048,userId_13364,1
userId_31277,userId_13364,1
userId_4116,userId_13364,1
userId_8451,userId_13364,2
userId_6883,userId_13364,1
userId_5916,userId_13364,1
userId_1501,userId_13364,4
userId_33859,userId_13364,1
userId_31916,userId_13364,6
userId_24087,userId_13364,1
userId_28594,userId_13364,1
userId_3585,userId_13364,1
userId_24068,userId_13364,2
userId_34605,userId_13364,1
userId_13729,userId_13364,1
userId_29762,userId_13364,1
userId_25674,userId_13364,1
userId_10800,userId_13364,32
userId_11902,userId_13364,1
userId_9497,userId_13364,2
userId_36458,userId_13364,2
userId_37364,userId_13364,1
userId_23630,userId_13364,1
userId_12033,userId_13364,1
userId_33933,userId_13364,1
userId_22723,userId_13364,1
userId_25716,userId_13364,1
userId_6079,userId_13364,2
userId_34537,userId_13364,1
userId_3499,userId_13364,1
userId_23159,userId_13364,1
userId_26603,userId_13364,1
userId_33652,userId_13364,1
userId_13360,userId_13364,1
userId_14678,userId_13364,15
userId_15390,userId_13364,1
userId_12508,userId_13364,21
userId_12894,userId_13364,1
userId_10980,userId_13364,1
userId_30318,userId_13364,1
userId_8129,userId_13364,3
userId_22842,userId_13364,3
userId_15630,userId_13364,3
