src,dst,count
userId_22136,userId_13364,1
userId_14678,userId_13364,5
userId_34177,userId_13364,1
userId_6166,userId_13364,7
userId_2458,userId_13364,1
userId_36150,userId_13364,1
userId_9715,userId_13364,1
userId_30318,userId_13364,1
userId_29174,userId_13364,1
userId_1756,userId_13364,1
userId_8219,userId_13364,1
userId_8377,userId_13364,1
userId_12432,userId_13364,1
userId_27610,userId_13364,1
userId_38409,userId_13364,1
userId_37770,userId_13364,1
userId_35544,userId_13364,1
userId_13703,userId_13364,1
userId_3217,userId_13364,1
userId_13967,userId_13364,1
userId_31487,userId_13364,1
userId_24773,userId_13364,1
userId_32661,userId_13364,3
userId_12084,userId_13364,1
userId_30723,userId_13364,1
userId_13364,userId_13364,13
userId_23452,userId_13364,1
userId_4022,userId_13364,1
userId_4055,userId_13364,1
userId_33781,userId_13364,1
userId_5931,userId_13364,1
userId_5232,userId_13364,2
userId_33845,userId_13364,1
userId_9899,userId_13364,1
userId_3397,userId_13364,1
userId_29028,userId_13364,1
userId_16629,userId_13364,1
userId_36381,userId_13364,1
userId_19840,userId_13364,1
userId_14119,userId_13364,1
userId_3739,userId_13364,1
userId_24152,userId_13364,1
userId_3978,userId_13364,1
userId_19325,userId_13364,1
userId_19363,userId_19363,2
userId_4902,userId_19363,1
userId_10373,userId_19363,1
userId_26507,userId_19363,1
userId_26745,userId_19363,1
userId_27729,userId_19363,1
userId_3019,userId_19363,1
userId_36438,userId_19363,1
userId_13269,userId_19363,1
userId_29766,userId_19363,2
userId_6020,userId_19363,1
userId_19873,userId_19363,1
userId_14599,userId_19363,1
userId_9880,userId_19363,1
userId_33123,userId_19363,1
userId_22582,userId_19363,1
userId_27122,userId_19363,1
userId_9097,userId_22330,1
userId_9281,userId_22330,3
userId_39659,userId_22330,2
userId_29418,userId_22330,8
userId_17819,userId_22330,1
userId_34230,userId_22330,1
userId_30799,userId_22330,1
userId_28802,userId_22330,1
userId_28577,userId_22330,4
userId_5879,userId_22330,2
userId_17530,userId_22330,1
userId_30391,userId_22330,1
userId_19385,userId_22330,1
userId_19362,userId_22330,10
userId_35634,userId_22330,2
userId_13724,userId_22330,1
userId_8926,userId_22330,1
userId_27213,userId_22330,3
userId_7731,userId_22330,2
userId_11439,userId_22330,1
userId_21379,userId_22330,1
userId_38426,userId_22330,1
userId_24545,userId_22330,1
userId_24497,userId_22330,1
userId_14668,userId_22330,1
userId_765,userId_22330,2
userId_22514,userId_22330,2
userId_805,userId_22330,1
userId_14528,userId_22330,1
userId_38855,userId_22330,1
userId_34334,userId_22330,1
userId_30235,userId_22330,1
userId_36350,userId_22330,2
userId_32950,userId_22330,1
userId_38838,userId_22330,1
userId_9287,userId_22330,1
userId_5349,userId_22330,1
userId_28040,userId_22330,1
userId_14219,userId_22330,1
userId_28717,userId_22330,1
userId_15543,userId_22330,1
userId_7208,userId_22330,1
userId_25257,userId_22330,1
userId_4786,userId_22330,4
userId_31301,userId_22330,1
userId_18852,userId_22330,2
userId_20687,userId_22330,1
userId_757,userId_22330,1
userId_22655,userId_22330,1
userId_2506,userId_22330,1
userId_32190,userId_22330,1
userId_33963,userId_22330,4
userId_12076,userId_22330,1
userId_38190,userId_22330,1
userId_18723,userId_22330,4
userId_13031,userId_22330,1
userId_38624,userId_22330,1
userId_17042,userId_22330,1
userId_37720,userId_22330,1
userId_16980,userId_22330,1
userId_26757,userId_22330,1
userId_39434,userId_22330,5
userId_29708,userId_22330,2
userId_37904,userId_22330,1
userId_12936,userId_22330,1
userId_10539,userId_22330,1
userId_12773,userId_22330,1
userId_18460,userId_22330,1
userId_10128,userId_22330,1
userId_34488,userId_22330,1
userId_29561,userId_22330,7
userId_20826,userId_22330,1
userId_32139,userId_22330,1
userId_5866,userId_22330,1
userId_25895,userId_22330,1
userId_20859,userId_22330,1
userId_8291,userId_22330,1
userId_24501,userId_22330,1
userId_32599,userId_22330,4
userId_18757,userId_22330,1
userId_1116,userId_22330,1
userId_34588,userId_22330,2
userId_16006,userId_22330,1
userId_13655,userId_22330,7
userId_10053,userId_22330,2
userId_4816,userId_22330,1
userId_6715,userId_22330,1
userId_8043,userId_22330,1
